"","R2gainPvalue","R2losePvalue","AshiftPvalue","phasePvalue","intshiftPvalue"
"PDZRN3",0.000529224979418985,0.999470775020581,0.182536882407516,0.984979157682909,0.280227893423236
"LOC100049716",0.00063376324695863,0.999366236753041,0.146059560677931,0.559201327635998,0.628751943758412
"RCBTB2",0.00257425483816165,0.997425745161838,0.154004469010937,0.578723849099011,0.91363832372888
"TCTN2",0.00338442641159331,0.996615573588407,0.221006964862075,0.901694826662485,0.77645144850837
"TEKT4P2",0.00341056097847814,0.996589439021522,0.00240438015340994,0.525455068145883,0.355194898532544
"LINC01158",0.00351509924601778,0.996484900753982,0.0622460046780875,0.998458060553791,0.244031518287663
"ARHGEF37",0.00478262573993493,0.995217374260065,0.1209899773936,0.673357115789199,0.0245207573797483
"ZNF559",0.00525958158558415,0.994740418414416,0.0331778326603682,0.626053549727547,0.418087733741033
"RPL17",0.00543598991205718,0.994564010087943,0.0375880408221935,0.237556679341932,0.309400603708495
"EXD2",0.00610242136762185,0.993897578632378,0.468997870032799,0.874214329583023,0.491048910841925
"CCDC77",0.00824545585218284,0.991754544147817,0.100997033726659,0.17855136095757,0.113809505141976
"SNHG10",0.00899682465012352,0.991003175349876,0.091144302011055,0.416879010022606,0.737785356802174
"EBPL",0.0103100866360892,0.989689913363911,0.0412599474695206,0.556659741006442,0.424673644596025
"TTC39A",0.0111921282684543,0.988807871731546,0.164830713343003,0.942882904073072,0.0570648267931579
"MGST2",0.0121852418100801,0.98781475818992,0.067956407542436,0.987769022697871,0.606596364681746
"SORD",0.01250539025442,0.98749460974558,0.235126164621637,0.730088726854574,0.297502842134149
"TRAFD1",0.0136030420635854,0.986396957936415,0.2594051772577,0.603198870986711,0.673971278110993
"ABCA17P",0.0136095757053066,0.986390424294693,0.0876096018398735,0.31087067309577,0.734028512812471
"POLR1D",0.0136879794059613,0.986312020594039,0.427594182445411,0.651227671279418,0.767715969527095
"NIM1K",0.0142629398774289,0.985737060122571,0.538404746037346,0.868876344296784,0.613332549296327
"LOC100505501",0.0153017889111032,0.984698211088897,0.270636507376481,0.472205888117919,0.468396774994446
"PRICKLE2",0.0163863734368263,0.983613626563174,0.351032968756125,0.733636494309198,0.606406889071831
"THEMIS2",0.0164517098540384,0.983548290145962,0.0414755576463209,0.646327439988501,0.148908228468384
"MRC2",0.0166411854639539,0.983358814536046,0.0344780273628915,0.487769022697871,0.163007827302782
"SLC22A4",0.0178499091823801,0.98215009081762,0.123603434082089,0.46884106263149,0.838135559998432
"LRRC56",0.0178891110327074,0.982110888967293,0.0342689508278124,0.917787186221856,0.0316554941393233
"C1D",0.0180785866426229,0.981921413357377,0.0871130450690606,0.533426111045775,0.165627817632992
"RBX1",0.0181373894181138,0.981862610581886,0.0528179596743633,0.411560625661531,0.490526219504227
"PIP5K1A",0.0181961921936049,0.981803807806395,0.300260038940505,0.873593633619507,0.77019875338116
"SFXN4",0.0182615286108171,0.981738471389183,0.108046833143858,0.249271498948084,0.832176878748677
"WIPI1",0.01907823382597,0.98092176617403,0.0904190677799992,0.944535915428542,0.775928757170672
"LOC101927359",0.0193983822703099,0.98060161772969,0.194428110340141,0.79975694852797,0.28510852378899
"B4GALT5",0.0198818717576803,0.98011812824232,0.401126399832739,0.80253374625949,0.978438982319966
"GUSBP9",0.0211559318933187,0.978844068106681,0.00842186417865587,0.946306532334993,0.176244985429979
"N6AMT1",0.0211886001019248,0.978811399898075,0.302344270649575,0.141688554366433,0.984757013864388
"RALA",0.0213062056529069,0.978693794347093,0.221503521632888,0.355952800972206,0.274641629751591
"SMIM5",0.0213192729363493,0.978680727063651,0.169417329831301,0.820860611287519,0.02591895670809
"CHRM4",0.0223711892534662,0.977628810746534,0.300103231539195,0.98343068459498,0.840200190782338
"IL1RAP",0.0224430593123995,0.9775569406876,0.427731388921557,0.503600036588394,0.213434474107178
"PRCD",0.0232336299606675,0.976766370039333,0.190527526232572,0.544115148901695,0.256066486338155
"NDST4",0.0245730265135181,0.975426973486482,0.0804095286630863,0.510381956695023,0.045938034941916
"WSCD1",0.0253439962366224,0.974656003763378,0.239340363531825,0.99129065558561,0.382276843467012
"SLC1A4",0.0259581585584173,0.974041841441583,0.239373031740431,0.780443503600037,0.956583950762476
"C14orf93",0.0260561631842356,0.973943836815764,0.0473297006285364,0.114090451735989,0.452977380532361
"RPL30.1",0.0267879310570126,0.973212068942987,0.0419917153422975,0.743116808446692,0.65818599971252
"BCHE",0.0272779541861042,0.972722045813896,0.136154559828557,0.755445790374639,0.327355051158415
"MME",0.0274086270205287,0.972591372979471,0.0489892456257268,0.313510264351144,0.0771165732355901
"CARD6",0.0275981026304442,0.972401897369556,0.0640623570765874,0.813523331634586,0.677982934127824
"ZNF778",0.0277353091065898,0.97226469089341,0.593032524468488,0.770741045644021,0.638049315927712
"LYSMD1",0.0282841350111726,0.971715864988827,0.11324107831223,0.940112639983274,0.784821043553256
"POLR2D",0.0287349562899368,0.971265043710063,0.212010140211951,0.133096815503025,0.451781724097377
"SMIM20",0.0294209886706652,0.970579011329335,0.085688711173834,0.739490637291414,0.306009643655181
"MED28",0.029590863355417,0.970409136644583,0.273099690305382,0.0429390933918747,0.727044049812484
"ZNF691",0.0298456753825447,0.970154324617455,0.291596430018163,0.639467116181217,0.382655794686843
"TBCA",0.0299436800083631,0.970056319991637,0.193369660381303,0.757438551099612,0.224515530466371
"CCDC125",0.0300482182759026,0.969951781724097,0.254374273132358,0.981483659362055,0.986730173664197
"ASTE1",0.0300547519176239,0.969945248082376,0.396846864505338,0.770440498124845,0.40946986031074
"TMEM98",0.0301788911103271,0.969821108889673,0.0676166581729324,0.816254393874058,0.0217896951402773
"MMP14",0.0303618330785214,0.969638166921479,0.0556992956734225,0.542174657310492,0.582369621179453
"INAFM2",0.0304598377043397,0.96954016229566,0.0583650214956812,0.557959935708966,0.256223293739465
"RPS15A",0.0308126543572856,0.969187345642714,0.126844120375815,0.831053092372627,0.182112195695637
"CMC2",0.0310936009512982,0.968906399048702,0.430645393129222,0.478412847753081,0.824427979667307
"TIGAR",0.0312961438446562,0.968703856155344,0.0940191043683929,0.944666588262966,0.234675343342872
"SNHG6",0.0318645706744025,0.968135429325597,0.0647745240242006,0.0319625753002208,0.93736851046036
"ADHFE1",0.0321781854770212,0.967821814522979,0.149803337384191,0.617442209938976,0.47525709880173
"CXCL12",0.0322173873273485,0.967782612672652,0.114613143073686,0.963509610986972,0.366537300560586
"BTBD8",0.0323153919531669,0.967684608046833,0.0854927019221974,0.957269983143204,0.268931226887242
"FAM86DP",0.0328511505743071,0.967148849425693,0.0399009499915063,0.490428214878409,0.958746586172201
"WIPF1",0.032877285141192,0.967122714858808,0.0595541442889438,0.978817933539796,0.0267617964901277
"GSTO1",0.0329034197080769,0.967096580291923,0.0424360029793406,0.498706338939198,0.912978425915037
"RPS25",0.0329622224835678,0.967037777516432,0.0798999046088309,0.58320592731977,0.580827681733245
"LINC00844",0.0330471598259438,0.966952840174056,0.089883309158859,0.840618343852497,0.359827250512891
"ZNRD1ASP",0.0332170345106956,0.966782965489304,0.161772969017471,0.847165052857161,0.200876814718988
"C5orf64",0.0335371829550355,0.966462817044965,0.0484469533628654,0.862754322003999,0.0311981392188379
"CNTNAP5",0.0337919949821631,0.966208005017837,0.215172422805023,0.847766147895514,0.613482823055915
"SNX11",0.0341578789185516,0.965842121081448,0.13167901524952,0.537757915506945,0.74935643629046
"SNRPE",0.0342297489774851,0.965770251022515,0.0598350908829564,0.727259659989285,0.218700589334483
"RPS27A",0.0343865563787944,0.965613443621206,0.0314072157539169,0.243606831575784,0.670162164987521
"GABARAPL2",0.0345106955714977,0.965489304428502,0.238641263867655,0.117977968560116,0.621506135089576
"RPS3A",0.0346544356893645,0.965345564310635,0.0384831497380009,0.799619742051825,0.938087211049695
"CIDEA",0.0347785748820678,0.965221425117932,0.0295712624302533,0.14231578397167,0.316528806826349
"SDHAP2",0.0353077998614868,0.964692200138513,0.0291335084349315,0.948018346465953,0.128725809191527
"MTPAP",0.0353208671449292,0.964679132855071,0.159616867249468,0.332653834594326,0.696368601931344
"CBLN4",0.0355822128137782,0.964417787186222,0.0354450063376325,0.742770525435467,0.377931971722399
"RPL35A",0.0356802174395965,0.964319782560404,0.0230114861421459,0.8559201327636,0.146693323924889
"RPS9",0.035961164033609,0.964038835966391,0.0455198818717577,0.358611993152744,0.420786127771898
"LINC02486",0.0362029087772943,0.963797091222706,0.176401792831288,0.0992068158950435,0.373110144132136
"CLUL1",0.0366667973395011,0.963333202660499,0.0605341905471272,0.814098292106054,0.122022292785553
"NCR3LG1",0.0367713356070406,0.963228664392959,0.171860911835039,0.995073634142198,0.423824271172266
"MINOS1",0.0372482914526899,0.96275170854731,0.285317600324069,0.0163471715864989,0.819220667215493
"BVES",0.037280959661296,0.962719040338704,0.284507428750637,0.766056424529904,0.127223071595646
